,column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,timestamp
2722,203.2715816,137.7223349,174.8933655,158.0355352,166.4341979,165.8913274,154.8237561,123.5720273,150.9667333,152.1624449,260.170734,155.9172606,168.2741032,154.3458007,165.9379629,155.0246898,153.1815786,173.8888747,183.3224604,187.0392663,184.3601125,196.6518879,195.8784219,173.928317,194.3037429,194.6967252,273.6645141,173.9769692,205.359305,188.3232205,186.1564326,191.6005586,197.4182192,193.8248877,191.5509663,185.645829,178.585255,158.7228031,199.4907534,173.4578517,206.0410024,191.9814316,10/07/2009
2723,203.7504726,137.8187089,176.1131643,158.9564032,166.9905947,165.5414486,154.9580444,123.6234783,151.1369756,152.7841291,259.994167,155.7447021,169.0935697,155.0657248,166.4947286,155.6927673,153.7346711,174.5858514,183.603547,189.0007046,186.4587906,198.0341819,196.6939956,174.1130756,194.6188517,194.6851997,274.0670035,174.5248989,206.3590104,189.5669966,186.4452561,192.0111143,198.0589493,194.7613696,192.1201106,185.9148678,179.5775122,159.5083405,200.3141456,174.2993854,206.7822501,193.2848244,13/07/2009
2724,203.963033,137.9944951,175.2757543,158.3604059,166.7780386,165.539947,155.1583388,123.7006548,151.4826718,152.4889786,259.8041998,156.0238978,168.6219584,154.9191991,166.2699312,155.3699324,153.4823226,174.1532159,183.7018065,187.2245869,184.5324618,196.888587,195.8781693,173.7352732,195.1377621,194.7604997,274.3833436,174.0423334,205.5589188,188.4066261,186.1754587,191.4722056,197.366615,193.8611148,191.5377878,185.6594168,179.0363575,158.8912434,199.4891,173.8471705,205.9800664,192.4233324,14/07/2009
2725,205.3829028,138.1124569,174.3229868,157.7515742,166.9648935,166.341815,155.8624038,123.9014796,152.0316164,152.4433983,260.4316433,156.5385265,168.2180784,154.8743097,166.2420493,155.2661936,153.5557802,174.418407,183.4940118,185.5313002,182.6370258,196.0385679,195.3089352,173.7137318,195.9161278,195.1831021,274.6989945,173.981004,204.9739848,187.3679622,185.9549423,191.0651268,196.982858,193.1622036,191.1152538,185.4927396,178.7552601,158.5380621,198.5441829,173.7866628,205.3214578,191.3353126,15/07/2009
2726,206.426381,138.3352737,174.5330513,158.1454298,167.5838068,167.376435,156.1484303,124.0159996,151.9343351,152.9238586,261.0417455,156.6210665,168.5692784,155.226649,166.6533066,155.7931864,153.9628218,174.746496,183.7968444,185.3550358,182.3333821,196.386823,195.5946892,173.1569703,196.6364883,195.4673982,275.1042406,173.70018,205.4615662,187.4060112,186.1205635,191.3516755,197.1536495,193.5286637,191.3590551,185.608689,179.9200471,159.5913963,199.1890082,173.7365052,205.3924106,191.1585523,16/07/2009
2727,206.5036757,139.1980139,174.3550305,158.1534512,167.8283158,167.4868045,156.3418964,124.0533431,152.4867541,152.9059254,262.5717304,157.2229439,168.5291412,155.3867263,166.674218,155.750861,153.9947975,174.7617955,183.907185,184.7215442,181.6858527,195.8161709,195.1020099,174.1155612,197.2424064,195.5688227,275.1890115,173.1320761,205.3184005,186.9194368,185.9343566,191.0796136,196.6913074,193.0168025,191.0076298,185.5244445,179.9570779,159.3104037,199.1658606,173.3766441,205.1386501,191.5841499,17/07/2009
2728,208.0529301,139.7754871,174.1649043,158.3058597,168.4256957,168.2406205,156.7561416,123.9919338,154.4488839,153.1031906,264.2412347,158.104017,168.5876746,155.5781414,166.8388952,155.9417403,154.2134419,175.0193369,183.9232931,184.2521685,181.1452287,195.6431159,194.9723973,174.7013207,198.5349794,196.4309314,274.9822533,173.0747815,205.7904382,186.6218477,185.8201996,190.8736114,196.5812884,192.8738657,190.871727,185.4266122,180.088369,159.2684877,198.9517456,173.5103978,205.1060953,190.9955209,20/07/2009
2729,209.8693552,140.379945,175.2194997,159.1946416,169.6169823,170.2317759,157.439722,124.3753268,154.861461,153.9968617,265.9036448,159.1720516,169.3887449,156.2404716,167.4627516,156.9226939,154.9678947,175.4290231,184.0755149,184.7029901,181.5966294,196.0883867,195.3963542,174.8579098,199.5351754,197.4344198,274.0008408,173.3999887,206.4408194,186.9605096,185.8713519,190.9153334,196.9456611,193.3379172,191.1064681,186.4040292,180.7052685,159.8886897,201.3640535,173.943505,206.2087848,191.2040294,21/07/2009
2730,210.405377,141.1586471,175.1077026,159.2162997,170.0101416,171.4706169,157.9442514,124.5794711,155.7230956,154.4040947,266.0597175,159.5437587,169.547621,156.7054579,167.8130173,157.4862027,155.0715996,175.6168668,184.4033151,183.5384965,180.3391704,195.3134535,194.6103412,175.1826874,200.1442289,198.3288,275.4715811,173.0763954,207.423345,186.1760941,185.8345472,190.7530813,196.1294243,192.5776417,190.6781685,186.3252199,180.8323515,159.729564,201.7278011,173.844782,205.9291474,190.5192978,22/07/2009
2731,210.63138,142.1971735,174.1207551,158.5304616,170.3491199,173.3018493,158.1544088,124.425118,156.6941718,154.1657326,267.8474587,160.4201231,169.015804,156.5148897,167.5890912,157.1973941,154.9264128,175.4205234,184.2019636,181.3033846,178.0772889,193.2055683,193.1272502,173.5969113,200.6607878,199.1002413,275.5570412,172.9198441,206.3631009,184.5616546,185.3280143,189.9496439,194.9451476,190.8877848,189.6409147,185.8867863,180.7187342,159.7512982,200.9507039,173.8232859,204.9742066,189.8783271,23/07/2009
