Date, Open, High, Low, Close
07/09/2015,2049.73,2074.28,2049.73,2051.31
09/09/2015,1971.45,1988.63,1937.88,1942.04
10/09/2015,2013.73,2020.13,2007.61,2014.89
11/09/2015,2096.56,2096.56,2068.24,2078.58
12/09/2015,2061.17,2080.33,2036.53,2047.62
02/10/2015,2049.38,2070.86,2048.62,2068.59
03/10/2015,2076.14,2076.14,2044.16,2044.16
04/10/2015,2091.51,2102.61,2091.51,2102.06
06/10/2015,2081.12,2108.5,2081.12,2105.2
07/10/2015,2052.74,2081.31,2052.74,2076.62
08/10/2015,2080.98,2105.35,2080.98,2104.18
09/10/2015,1941.59,1965.29,1937.19,1952.29
11/10/2015,2077.19,2083.67,2069.91,2081.72
12/10/2015,2047.93,2067.65,2045.67,2052.23
02/11/2015,2068.55,2073.48,2057.99,2068.53
03/11/2015,2044.69,2050.08,2039.69,2040.24
05/11/2015,2115.56,2117.69,2104.58,2105.33
06/11/2015,2106.24,2115.02,2106.24,2108.86
08/11/2015,2102.66,2102.66,2076.49,2084.07
09/11/2015,1951.45,1961.05,1939.19,1961.05
11/11/2015,2083.41,2086.94,2074.85,2075
12/11/2015,2047.27,2047.27,2008.8,2012.37
01/12/2015,2046.13,2049.3,2022.58,2028.26
02/12/2015,2069.98,2088.53,2069.98,2088.48
03/12/2015,2041.1,2066.41,2041.1,2065.95
05/12/2015,2102.87,2105.06,2085.57,2099.12
06/12/2015,2107.43,2107.43,2091.33,2094.11
08/12/2015,2081.1,2089.06,2052.09,2086.05
10/12/2015,2015.65,2018.66,2010.55,2017.46
11/12/2015,2072.29,2072.29,2045.66,2045.97
02/01/2016,1936.94,1947.2,1920.3,1939.38
03/01/2016,1937.09,1978.35,1937.09,1978.35
04/01/2016,2056.62,2075.07,2043.98,2072.78
06/01/2016,2093.94,2100.97,2085.1,2099.33
07/01/2016,2099.34,2108.71,2097.9,2102.95
08/01/2016,2173.15,2178.29,2166.21,2170.84
09/01/2016,2171.33,2173.56,2157.09,2170.86
11/01/2016,2128.68,2131.45,2097.85,2111.72
12/01/2016,2200.17,2202.6,2187.44,2191.08
02/02/2016,1935.26,1935.26,1897.29,1903.03
03/02/2016,1976.6,1986.51,1968.8,1986.45
05/02/2016,2067.17,2083.42,2066.11,2081.43
06/02/2016,2097.71,2105.26,2088.59,2105.26
08/02/2016,2169.94,2170.2,2147.58,2157.03
09/02/2016,2177.49,2184.87,2173.59,2179.98
11/02/2016,2109.43,2111.76,2094,2097.94
12/02/2016,2191.12,2197.95,2188.37,2191.95
02/03/2016,1907.07,1918.01,1872.23,1912.53
03/03/2016,1985.6,1993.69,1977.37,1993.4
05/03/2016,2077.18,2077.18,2054.89,2063.37
